wave_year,parent_ed_level,metric,estimate,n,status
2010,lower_secondary,persistence_probability,0.25490314871381103,232,ok
2010,no_formal,persistence_probability,NA,27,small_n
2010,post_secondary_non_tertiary,persistence_probability,0,69,ok
2010,primary,persistence_probability,0.026984539200371076,48,ok
2010,tertiary,persistence_probability,0.3026077420769528,127,ok
2010,upper_secondary,persistence_probability,0.6965664859691065,433,ok
2016,lower_secondary,persistence_probability,0.17123907464372057,187,ok
2016,no_formal,persistence_probability,NA,1,small_n
2016,primary,persistence_probability,0,39,ok
2016,tertiary,persistence_probability,0.6571473548694239,530,ok
2016,upper_secondary,persistence_probability,0.6431872242511876,429,ok
2022,lower_secondary,persistence_probability,NA,6,small_n
2022,no_formal,persistence_probability,NA,5,small_n
2022,primary,persistence_probability,NA,2,small_n
2022,tertiary,persistence_probability,0.8726967333044493,503,ok
2022,upper_secondary,persistence_probability,0.36393110947618756,263,ok
