subgroup_type,subgroup_value,wave_year,metric,estimate,n,status
urban_rural,rural,2010,rank_rank_slope,0.09633685020024431,542,ok
urban_rural,urban,2010,rank_rank_slope,0.1552075256454815,262,ok
urban_rural,rural,2016,rank_rank_slope,0.24597236088011648,684,ok
urban_rural,urban,2016,rank_rank_slope,0.31645300436693385,502,ok
urban_rural,rural,2022,rank_rank_slope,0.2712210302467116,497,ok
urban_rural,urban,2022,rank_rank_slope,0.4719998938743844,285,ok
urban_rural,rural,2010,upward_mobility_rate,0.36674816625916873,409,ok
urban_rural,rural,2010,downward_mobility_rate,0.1295843520782396,409,ok
urban_rural,rural,2010,persistence_probability,0.5036674816625917,409,ok
urban_rural,urban,2010,upward_mobility_rate,0.4030612244897959,196,ok
urban_rural,urban,2010,downward_mobility_rate,0.07142857142857142,196,ok
urban_rural,urban,2010,persistence_probability,0.5255102040816326,196,ok
urban_rural,rural,2016,upward_mobility_rate,0.23384615384615384,325,ok
urban_rural,rural,2016,downward_mobility_rate,0.08,325,ok
urban_rural,rural,2016,persistence_probability,0.6861538461538461,325,ok
urban_rural,urban,2016,upward_mobility_rate,0.27461139896373055,193,ok
urban_rural,urban,2016,downward_mobility_rate,0.06217616580310881,193,ok
urban_rural,urban,2016,persistence_probability,0.6632124352331606,193,ok
urban_rural,rural,2022,upward_mobility_rate,0.009433962264150943,106,ok
urban_rural,rural,2022,downward_mobility_rate,0.009433962264150943,106,ok
urban_rural,rural,2022,persistence_probability,0.9811320754716981,106,ok
urban_rural,urban,2022,upward_mobility_rate,0.043478260869565216,46,ok
urban_rural,urban,2022,downward_mobility_rate,0.021739130434782608,46,ok
urban_rural,urban,2022,persistence_probability,0.9347826086956522,46,ok
gender,female,2010,rank_rank_slope,0.08762212772750791,560,ok
gender,male,2010,rank_rank_slope,0.12561815258752135,376,ok
gender,female,2016,rank_rank_slope,0.29852808636106887,643,ok
gender,male,2016,rank_rank_slope,0.25729715839455414,543,ok
gender,female,2022,rank_rank_slope,0.3515977126691676,712,ok
gender,male,2022,rank_rank_slope,0.4434785902316157,70,ok
gender,female,2010,upward_mobility_rate,0.38497652582159625,426,ok
