subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
overall,all,2010,rank_rank_slope,0.13272431348508937,0.02924496091483788,0.07533086922795607,0.19011775774222267,867.5493733219923,936,ok
overall,all,2016,rank_rank_slope,0.3068039881284438,0.026850542667050125,0.2541240394858461,0.35948393677104146,873.3363098624955,1186,ok
overall,all,2022,rank_rank_slope,0.2525994809996273,0.029180290887587668,0.1953179344047259,0.30988102759452874,399.5781481078656,779,ok
overall,all,2010,upward_mobility_rate,0.30499891427011167,0.015631288832876403,0.2743621511257308,0.3356356774144925,867.5493733219923,936,ok
overall,all,2010,downward_mobility_rate,0.2542520372252747,0.014783632509072652,0.22527664994681676,0.28322742450373256,867.5493733219923,936,ok
overall,all,2010,persistence_probability,0.4407490485046136,0.01685590043624094,0.4077120907225884,0.4737860062866388,867.5493733219923,936,ok
overall,all,2016,upward_mobility_rate,0.2555326033952815,0.014758942571766586,0.22660560750472403,0.28445959928583897,873.3363098624955,1186,ok
overall,all,2016,downward_mobility_rate,0.18145671332162341,0.01304117093134068,0.15589648797996503,0.2070169386632818,873.3363098624955,1186,ok
overall,all,2016,persistence_probability,0.563010683283095,0.016784289794137652,0.530114079780502,0.595907286785688,873.3363098624955,1186,ok
overall,all,2022,upward_mobility_rate,0.24590082067206195,0.02154236392117977,0.20367856324469455,0.28812307809942933,399.5781481078656,779,ok
overall,all,2022,downward_mobility_rate,0.08116865566874926,0.013661903477526126,0.05439181689253554,0.10794549444496297,399.5781481078656,779,ok
overall,all,2022,persistence_probability,0.6729305236591888,0.023469522673623865,0.6269311044845398,0.7189299428338378,399.5781481078656,779,ok
