wave_year,parent_ed_level,own_ed_level,n,w_n,n_parent_total,w_parent_total,share,status
2010,lower_secondary,lower_secondary,56,666795.4946,198,2275937.5851000003,0.2929761778026537,ok
2010,lower_secondary,primary,1,15867.698,198,2275937.5851000003,0.00697193899511212,ok
2010,lower_secondary,upper_secondary,141,1593274.3925,198,2275937.5851000003,0.7000518832022341,ok
2010,primary,lower_secondary,9,90724.84449999999,42,399848.0598,0.22689829868220357,ok
2010,primary,primary,1,12208.047,42,399848.0598,0.030531714987203747,ok
2010,primary,upper_secondary,32,296915.1683,42,399848.0598,0.7425699863305928,ok
2010,upper_secondary,lower_secondary,74,1003227.9918,372,4876824.6009,0.20571336348960714,ok
2010,upper_secondary,upper_secondary,298,3873596.6091,372,4876824.6009,0.7942866365103929,ok
2016,lower_secondary,lower_secondary,33,357084.13,122,1390990.38,0.2567121492242096,ok
2016,lower_secondary,upper_secondary,89,1033906.25,122,1390990.38,0.7432878507757905,ok
2016,primary,lower_secondary,5,68773.20999999999,26,340280.56999999995,NA,small_n
2016,primary,upper_secondary,21,271507.36,26,340280.56999999995,NA,small_n
2016,upper_secondary,lower_secondary,27,325096.98,291,3834914.22,0.08477294702044208,ok
2016,upper_secondary,upper_secondary,264,3509817.24,291,3834914.22,0.9152270529795579,ok
2022,lower_secondary,upper_secondary,2,32283.093947547437,2,32283.093947547437,NA,small_n
2022,primary,upper_secondary,1,41148.97941713385,1,41148.97941713385,NA,small_n
2022,upper_secondary,lower_secondary,1,36283.00001174287,121,2361036.6381479525,0.015367402362804514,ok
2022,upper_secondary,primary,1,3620.5673484650397,121,2361036.6381479525,0.0015334651271252996,ok
2022,upper_secondary,upper_secondary,119,2321133.0707877446,121,2361036.6381479525,0.9830991325100702,ok
