subgroup_type,subgroup_value,wave_year,metric,estimate,n,status
overall,all,2010,upward_mobility_rate,0.262282090672107,612,ok
overall,all,2016,upward_mobility_rate,0.24688126212660655,439,ok
overall,all,2022,upward_mobility_rate,0.030163490299719226,124,ok
urban_rural,rural,2010,upward_mobility_rate,0.2466333863852695,367,ok
urban_rural,urban,2010,upward_mobility_rate,0.25454121227946847,170,ok
urban_rural,rural,2016,upward_mobility_rate,0.22072532151747368,276,ok
urban_rural,urban,2016,upward_mobility_rate,0.2755873877472487,163,ok
urban_rural,rural,2022,upward_mobility_rate,0.01293002795442068,83,ok
urban_rural,urban,2022,upward_mobility_rate,0.06135696584533729,41,ok
gender,female,2010,upward_mobility_rate,0.25626628668991536,379,ok
gender,male,2010,upward_mobility_rate,0.27197090257224965,233,ok
gender,female,2016,upward_mobility_rate,0.24340409245446284,241,ok
gender,male,2016,upward_mobility_rate,0.2523576523417738,198,ok
gender,female,2022,upward_mobility_rate,0.026767318481726282,113,ok
gender,male,2022,upward_mobility_rate,NA,11,small_n
region,Bukhara oblast,2010,upward_mobility_rate,0.21152226387305778,77,ok
region,Djizak oblast,2010,upward_mobility_rate,0.32553370681214394,36,ok
region,Karakalpakstan,2010,upward_mobility_rate,NA,25,small_n
region,Khorezm oblast,2010,upward_mobility_rate,0.19344715905384569,66,ok
region,Namangan oblast,2010,upward_mobility_rate,0.27302502480203683,118,ok
region,Navoi oblast,2010,upward_mobility_rate,NA,24,small_n
region,Samarkand oblast,2010,upward_mobility_rate,0.22902443356557092,105,ok
region,Syrdarya oblast,2010,upward_mobility_rate,NA,29,small_n
region,Tashkent city,2010,upward_mobility_rate,0.36395967775118815,75,ok
region,Tashkent oblast,2010,upward_mobility_rate,0.160505745986833,57,ok
region,Bukhara oblast,2016,upward_mobility_rate,0.11395769289692752,32,ok
region,Jizzak oblast,2016,upward_mobility_rate,NA,24,small_n
region,Karakalpakistan AR,2016,upward_mobility_rate,0.31512111823630135,50,ok
region,Khorezm oblast,2016,upward_mobility_rate,0.21856808051746882,41,ok
region,Namangan oblast,2016,upward_mobility_rate,0.20830740361185654,66,ok
region,Navoi oblast,2016,upward_mobility_rate,NA,12,small_n
region,Samarkand oblast,2016,upward_mobility_rate,0.1583044377836972,81,ok
region,Sirdarya oblast,2016,upward_mobility_rate,NA,23,small_n
region,Tashkent,2016,upward_mobility_rate,0.301020048472858,40,ok
region,Tashkent oblast,2016,upward_mobility_rate,0.4068768002684927,70,ok
region,Andijan region,2022,upward_mobility_rate,0,30,ok
region,Bukhara region,2022,upward_mobility_rate,NA,10,small_n
region,Djizak region,2022,upward_mobility_rate,NA,7,small_n
region,Fergana region,2022,upward_mobility_rate,NA,15,small_n
region,Karakalpakstan region,2022,upward_mobility_rate,NA,2,small_n
region,Kashkadarya region,2022,upward_mobility_rate,NA,11,small_n
region,Khorezm region,2022,upward_mobility_rate,NA,2,small_n
region,Namangan region,2022,upward_mobility_rate,NA,15,small_n
region,Navoi region,2022,upward_mobility_rate,NA,3,small_n
region,Samarkand region,2022,upward_mobility_rate,NA,6,small_n
region,Surkhandarya region,2022,upward_mobility_rate,NA,13,small_n
region,Syrdarya region,2022,upward_mobility_rate,NA,1,small_n
region,Tashkent city,2022,upward_mobility_rate,NA,2,small_n
region,Tashkent region,2022,upward_mobility_rate,NA,7,small_n
cohort,25-34,2010,upward_mobility_rate,0.13086227783522678,214,ok
cohort,35-44,2010,upward_mobility_rate,0.2821243121737725,209,ok
cohort,45-54,2010,upward_mobility_rate,0.5171596971287057,135,ok
cohort,55-64,2010,upward_mobility_rate,0.46178894865676345,54,ok
cohort,25-34,2016,upward_mobility_rate,0.21537019557577342,93,ok
cohort,35-44,2016,upward_mobility_rate,0.2266759025864082,123,ok
cohort,45-54,2016,upward_mobility_rate,0.18094538735193422,118,ok
cohort,55-64,2016,upward_mobility_rate,0.4210602881385587,105,ok
cohort,25-34,2022,upward_mobility_rate,NA,22,small_n
cohort,35-44,2022,upward_mobility_rate,0.053319906359966696,30,ok
cohort,45-54,2022,upward_mobility_rate,0.04716180822934845,41,ok
cohort,55-64,2022,upward_mobility_rate,0,31,ok
