model,term,estimate,std.error,statistic,p.value,model_family,specification,specification_label,n_used
eq2_persistence_trend_minimal,parent_rank,0.139016177611948,0.03746477031622334,3.710584008351706,0.00261671653545512,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2901
eq2_persistence_trend_minimal,wave_year_fe::2016:parent_rank,0.17083624038015827,0.04597121147726324,3.7161570228500858,0.00258907367458859,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2901
eq2_persistence_trend_minimal,wave_year_fe::2022:parent_rank,0.11187189316468288,0.06442452980205594,1.736479777320979,0.10609992302903402,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2901
eq3_attainment_score_minimal,parent_ed_score,0.23485675602632694,0.019715633384539608,11.912209536747339,2.2820483862543908e-8,eq3_attainment_score,minimal,Minimal parental association + fixed effects,2901
eq4_upward_full_lpm_minimal,parent_ed_level::no_formal,0.6416590623439863,0.0654490191705742,9.803952304795965,2.262803135184623e-7,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2901
eq4_upward_full_lpm_minimal,parent_ed_level::primary,0.6845414866124162,0.034465009516888204,19.861926522230725,4.145191792842517e-11,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2901
eq4_upward_full_lpm_minimal,parent_ed_level::lower_secondary,0.4969225153954029,0.04056826543130082,12.249045161590708,1.6327715134729842e-8,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2901
eq4_upward_full_lpm_minimal,parent_ed_level::post_secondary_non_tertiary,-0.005290594239010599,0.050363623195724905,-0.10504792751804419,0.9179413013637552,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2901
eq4_upward_full_lpm_minimal,parent_ed_level::tertiary,-0.41737485528822826,0.053317838829292113,-7.828052757812232,2.834406309930169e-6,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2901
eq4_upward_lowparent_lpm_minimal,parent_ed_level::no_formal,0.6457671281483269,0.06544583762319583,9.867199375861437,2.1006793480810974e-7,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1672
eq4_upward_lowparent_lpm_minimal,parent_ed_level::primary,0.7439350894022995,0.029966749083837906,24.825351836496978,2.446886005620329e-12,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1672
eq4_upward_lowparent_lpm_minimal,parent_ed_level::lower_secondary,0.5600673045067407,0.03423690145036603,16.35858622658018,4.715816176515485e-10,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1672
