model,term,estimate,std.error,statistic,p.value
m1_switched_online,parent_low_edu,-1.0920773460776374,1.2471427442956449,-0.8756634724234518,0.38121300852079754
m1_switched_online,urban,-0.24924280273175192,0.896299693398374,-0.2780797589997302,0.7809511331687135
m1_switched_online,parent_low_edu:urban,-1.6350476848549143,0.9381699476213833,-1.7428054362649117,0.08136760642065578
m2_school_closed_no_online,parent_low_edu,0.4971380628299561,0.9032500860598319,0.5503880602974284,0.5820532361968944
m2_school_closed_no_online,urban,-0.5255656944848897,0.8191486194392881,-0.6415999270616392,0.5211329803548292
m2_school_closed_no_online,parent_low_edu:urban,0.39698013066371707,1.26888175573041,0.31285825402635903,0.7543883549644225
m3_education_stopped_covid,parent_low_edu,0.11918358133872958,0.42281660665786747,0.2818800857440539,0.7780354598924968
m3_education_stopped_covid,urban,-0.38337426356972837,1.2932092232815373,-0.2964518475957901,0.7668850350702417
m3_education_stopped_covid,parent_low_edu:urban,0.5862872088958085,0.8567799223618344,0.6842914890904835,0.4937911202006833
m4_any_remote_challenge,parent_low_edu,0.83916454720498,0.661933024792104,1.2677484213278825,0.20488780687906827
m4_any_remote_challenge,urban,0.5160574934354201,0.5129256784328186,1.006105787123332,0.314364685161547
m4_any_remote_challenge,parent_low_edu:urban,-1.705411947469937,0.8798178886462107,-1.9383692574085765,0.05257818831447149
