region,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
Andijan region,2022,rank_rank_slope,0.5607539761299843,0.09663912446028022,0.3681074024043136,0.7534005498556551,44.84013211819462,74,ok
Andijan region,2022,upward_mobility_rate,0.09347018540138295,0.04347045203694241,0.008269665017300018,0.1786707057854659,44.84013211819462,74,ok
Bukhara oblast,2010,rank_rank_slope,0.04535483337486229,0.09088645176285319,-0.1347978813013921,0.22550754805111667,103.64613125027749,110,ok
Bukhara oblast,2016,rank_rank_slope,0.29503547578622835,0.08980686556865175,0.1170411878740259,0.4730297636984308,82.64420812430885,111,ok
Bukhara oblast,2010,upward_mobility_rate,0.2395516926136888,0.04192353764264771,0.15738306872959007,0.32172031649778754,103.64613125027749,110,ok
Bukhara oblast,2016,upward_mobility_rate,0.2032252882102736,0.044263977215279506,0.11646948705582424,0.289981089364723,82.64420812430885,111,ok
Bukhara region,2022,rank_rank_slope,0.41888285967938776,0.14247351476637338,0.13115175940591245,0.7066139599528631,25.147128138694356,43,ok
Bukhara region,2022,upward_mobility_rate,0.12653262180267447,0.06629494291132187,0,0.25646832226600424,25.147128138694356,43,ok
Djizak oblast,2010,rank_rank_slope,0.12579925352739368,0.1325880132618345,-0.14013862309968333,0.3917371301544707,52.58712233895189,55,ok
Djizak oblast,2010,upward_mobility_rate,0.34615028900390843,0.06560419552199466,0.21756842854607503,0.4747321494617418,52.58712233895189,55,ok
Djizak region,2022,rank_rank_slope,0.4572481809323534,0.17330410968554022,0.10379211891293616,0.8107042429517707,23.965964071547702,33,ok
Djizak region,2022,upward_mobility_rate,0.10686955160404521,0.06310837381963821,0,0.23055969141342653,23.965964071547702,33,ok
Fergana region,2022,rank_rank_slope,0.1206853819716748,0.08291899087605764,-0.04386465678254731,0.2852354207258969,57.51604745553552,100,ok
Fergana region,2022,upward_mobility_rate,0.2688720391770419,0.05846217927315178,0.1542882733439404,0.38345580501014337,57.51604745553552,100,ok
Jizzak oblast,2016,rank_rank_slope,0.32490985280587154,0.10221417468696077,0.1214971626276388,0.5283225429841043,59.11978738819256,82,ok
Jizzak oblast,2016,upward_mobility_rate,0.2079223259785522,0.05277983360917812,0.10447575299454641,0.311368898962558,59.11978738819256,82,ok
Karakalpakistan AR,2016,rank_rank_slope,0.3726479342866616,0.08375857532130661,0.2067070899275354,0.5385887786457878,82.55933616953601,115,ok
Karakalpakistan AR,2016,upward_mobility_rate,0.27551458411600194,0.049170432004083504,0.17914230828372266,0.3718868599482812,82.55933616953601,115,ok
Karakalpakstan,2010,rank_rank_slope,0.32404162536795383,0.10635025434059822,0.1110789144640924,0.5370043362718153,55.53574465059211,59,ok
Karakalpakstan,2010,upward_mobility_rate,0.28339230612787975,0.060471182505717855,0.16487096631412418,0.4019136459416353,55.53574465059211,59,ok
Karakalpakstan region,2022,rank_rank_slope,0.341191922836738,0.09740235628058747,0.14226977342605435,0.5401140722474216,22.931696155255697,32,ok
Karakalpakstan region,2022,upward_mobility_rate,0.13850500448972533,0.07213416733044993,0,0.279885374512193,22.931696155255697,32,ok
Kashkadarya region,2022,rank_rank_slope,0.11690545690044976,0.09194882217705368,-0.06622649371867592,0.3000374075195754,56.88597796989582,78,ok
Kashkadarya region,2022,upward_mobility_rate,0.4298107378383275,0.06563651793924825,0.3011655266067838,0.5584559490698713,56.88597796989582,78,ok
Khorezm oblast,2010,rank_rank_slope,0.2179503044137821,0.09792211983862185,0.02287943855879787,0.41302117026876634,72.58363664854198,77,ok
Khorezm oblast,2016,rank_rank_slope,0.335512465232951,0.09560586181549469,0.1456031654941491,0.5254217649717529,68.563008273215,93,ok
Khorezm oblast,2010,upward_mobility_rate,0.19359813773191348,0.04637746291531861,0.10269998072354705,0.28449629474027993,72.58363664854198,77,ok
Khorezm oblast,2016,upward_mobility_rate,0.2735058977230163,0.053833728773429346,0.1679937281735972,0.3790180672724354,68.563008273215,93,ok
Khorezm region,2022,rank_rank_slope,0.03618663757023702,0.07788195132132204,-0.12077412175716307,0.1931473968976371,36.21265080063848,46,ok
Khorezm region,2022,upward_mobility_rate,0.3169849496351876,0.07732221734390135,0.16543618843636265,0.4685337108340125,36.21265080063848,46,ok
Namangan oblast,2010,rank_rank_slope,0.14799692954237365,0.06353469122634507,0.022444597085189727,0.27354926199955754,140.95123661446723,150,ok
Namangan oblast,2016,rank_rank_slope,0.2825540675906836,0.07482060327730672,0.1347468593064754,0.43036127587489176,106.52601136491835,156,ok
Namangan oblast,2010,upward_mobility_rate,0.29135837931373726,0.038273011792670404,0.2163446546202265,0.366372104007248,140.95123661446723,150,ok
