subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
cohort,25-34,2010,downward_mobility_rate,0.33561935170415486,0.026073647234857805,0.2845159421782312,0.38672276123007854,327.9898448663725,328,ok
cohort,25-34,2016,downward_mobility_rate,0.24028612239163422,0.027707195062043565,0.18598101795740282,0.29459122682586564,237.79002050673884,314,ok
cohort,25-34,2022,downward_mobility_rate,0.08340530764821368,0.02404118672369593,0.036285447524167166,0.1305251677722602,132.26935130361105,251,ok
cohort,25-34,2010,persistence_probability,0.4905711683528019,0.02760339955723384,0.4364694993697547,0.5446728373358491,327.9898448663725,328,ok
cohort,25-34,2016,persistence_probability,0.5790481411634586,0.03201671274675347,0.5162965372764573,0.6417997450504599,237.79002050673884,314,ok
cohort,25-34,2022,persistence_probability,0.7567216527423815,0.03730698882391107,0.6836012982758775,0.8298420072088855,132.26935130361105,251,ok
cohort,25-34,2010,rank_rank_slope,0.1813557096657951,0.05041480248795644,0.08217630609009731,0.2805351132414929,327.9898448663725,328,ok
cohort,25-34,2016,rank_rank_slope,0.3282803177486713,0.05523119906909535,0.21960760391379264,0.4369530315835499,237.79002050673884,314,ok
cohort,25-34,2022,rank_rank_slope,0.19597002718121817,0.051544663483675014,0.09445091212000495,0.2974891422424314,132.26935130361105,251,ok
cohort,25-34,2010,upward_mobility_rate,0.17380947994304333,0.02092409268378227,0.13279901187365206,0.2148199480124346,327.9898448663725,328,ok
cohort,25-34,2016,upward_mobility_rate,0.18066573644490722,0.024950062859916092,0.13176451182746127,0.22956696106235316,237.79002050673884,314,ok
cohort,25-34,2022,upward_mobility_rate,0.15987303960940494,0.03186621376603176,0.09741640830432821,0.22232967091448166,132.26935130361105,251,ok
cohort,35-44,2010,downward_mobility_rate,0.22526972992165156,0.02404157535773919,0.1781491080888771,0.27239035175442605,301.94477536362376,302,ok
cohort,35-44,2016,downward_mobility_rate,0.22295822663084355,0.02649779156922996,0.17102350948530376,0.27489294377638335,246.74508413694952,321,ok
cohort,35-44,2022,downward_mobility_rate,0.090388041940749,0.026321577619156843,0.038798697790926054,0.14197738609057192,118.67064642231631,230,ok
cohort,35-44,2010,persistence_probability,0.45705540090612207,0.028668067718302836,0.40086702067189317,0.513243781140351,301.94477536362376,302,ok
cohort,35-44,2016,persistence_probability,0.5677977462435049,0.03153668870541944,0.5059869721892317,0.629608520297778,246.74508413694952,321,ok
cohort,35-44,2022,persistence_probability,0.6817182800982415,0.0427598983275061,0.5979104193937351,0.765526140802748,118.67064642231631,230,ok
cohort,35-44,2010,rank_rank_slope,0.1216449895158669,0.050077389804165366,0.02309754332415466,0.22019243570757913,301.94477536362376,302,ok
cohort,35-44,2016,rank_rank_slope,0.3852698284559059,0.05078748671706212,0.28534908538933074,0.4851905715224811,246.74508413694952,321,ok
cohort,35-44,2022,rank_rank_slope,0.21542408403321286,0.05491510686692804,0.10721808372458769,0.32363008434183804,118.67064642231631,230,ok
