wave_year,parent_ed_level,own_ed_level,n,n_parent_total,share,status
2010,lower_secondary,lower_secondary,56,198,0.2929761778026537,ok
2010,lower_secondary,primary,1,198,0.00697193899511212,ok
2010,lower_secondary,upper_secondary,141,198,0.7000518832022341,ok
2010,primary,lower_secondary,9,42,0.22689829868220357,ok
2010,primary,primary,1,42,0.030531714987203747,ok
2010,primary,upper_secondary,32,42,0.7425699863305928,ok
2010,upper_secondary,lower_secondary,74,372,0.20571336348960714,ok
2010,upper_secondary,upper_secondary,298,372,0.7942866365103929,ok
2016,lower_secondary,lower_secondary,33,122,0.2567121492242096,ok
2016,lower_secondary,upper_secondary,89,122,0.7432878507757905,ok
2016,primary,lower_secondary,5,26,NA,small_n
2016,primary,upper_secondary,21,26,NA,small_n
2016,upper_secondary,lower_secondary,27,291,0.08477294702044208,ok
2016,upper_secondary,upper_secondary,264,291,0.9152270529795579,ok
2022,lower_secondary,upper_secondary,2,2,NA,small_n
2022,primary,upper_secondary,1,1,NA,small_n
2022,upper_secondary,lower_secondary,1,121,0.015367402362804514,ok
2022,upper_secondary,primary,1,121,0.0015334651271252996,ok
2022,upper_secondary,upper_secondary,119,121,0.9830991325100702,ok
